"Inventory ID","URI","Thickness","Unit"
"1968 12-13 56","http://collection.britishmuseum.org/id/object/GAA58949",1,"http://qudt.org/vocab/unit/CM"
"1968 12-13 57","http://collection.britishmuseum.org/id/object/GAA95951","1,45","http://qudt.org/vocab/unit/CM"
"1968 12-13 58","http://collection.britishmuseum.org/id/object/GAA58940","1,4","http://qudt.org/vocab/unit/CM"
"1968 12-13 59","http://collection.britishmuseum.org/id/object/GAA58939","1,4","http://qudt.org/vocab/unit/CM"
"1968 12-13 6","http://collection.britishmuseum.org/id/object/GAA58893","1,35","http://qudt.org/vocab/unit/CM"
"1968 12-13 61","http://collection.britishmuseum.org/id/object/GAA58937","1,2","http://qudt.org/vocab/unit/CM"
"1968 12-13 62","http://collection.britishmuseum.org/id/object/GAA58934","1,25","http://qudt.org/vocab/unit/CM"
"1968 12-13 64","http://collection.britishmuseum.org/id/object/GAA58941","1,1","http://qudt.org/vocab/unit/CM"
"1968 12-13 7","http://collection.britishmuseum.org/id/object/GAA58896","1,2333333","http://qudt.org/vocab/unit/CM"
"1968 12-13 8","http://collection.britishmuseum.org/id/object/GAA58900","1,15","http://qudt.org/vocab/unit/CM"
"1968 12-13 9","http://collection.britishmuseum.org/id/object/GAA58901","1,1","http://qudt.org/vocab/unit/CM"
"462_1891","http://www.ashmolean.org/id/object/AN1891.462","1,2","http://qudt.org/vocab/unit/CM"
"464_1891","http://www.ashmolean.org/id/object/AN1891.464","1,15","http://qudt.org/vocab/unit/CM"
"465_1891","http://www.ashmolean.org/id/object/AN1891.465","0,95","http://qudt.org/vocab/unit/CM"
"466_1891","http://www.ashmolean.org/id/object/AN1891.466","1,15","http://qudt.org/vocab/unit/CM"
"467_1891","http://www.ashmolean.org/id/object/AN1891.462","1,15","http://qudt.org/vocab/unit/CM"
"469_1891","http://www.ashmolean.org/id/object/AN1891.469","1,55","http://qudt.org/vocab/unit/CM"
"470_1891","http://www.ashmolean.org/id/object/AN1891.470","1,25","http://qudt.org/vocab/unit/CM"
"472_1891","http://www.ashmolean.org/id/object/AN1891.472","1,2","http://qudt.org/vocab/unit/CM"
"473_1891","http://www.ashmolean.org/id/object/AN1891.473","1,35","http://qudt.org/vocab/unit/CM"
"474_1891","http://www.ashmolean.org/id/object/AN1891.474","1,55","http://qudt.org/vocab/unit/CM"
"480_1891","http://www.ashmolean.org/id/object/AN1891.480","1,6","http://qudt.org/vocab/unit/CM"
"481_1891","http://www.ashmolean.org/id/object/AN1891.481","1,35","http://qudt.org/vocab/unit/CM"
"551_1926","http://www.ashmolean.org/id/object/AN1926.551","1,55","http://qudt.org/vocab/unit/CM"
"91 8-6 37","http://collection.britishmuseum.org/id/object/GAA57396","1,1","http://qudt.org/vocab/unit/CM"
"91 8-6 39","http://collection.britishmuseum.org/id/object/GAA57346",1,"http://qudt.org/vocab/unit/CM"
"91 8-6 46","http://collection.britishmuseum.org/id/object/GAA57395","1,5","http://qudt.org/vocab/unit/CM"
"91 8-6 54","http://collection.britishmuseum.org/id/object/GAA57343","1,9","http://qudt.org/vocab/unit/CM"
"91 8-6 57","http://collection.britishmuseum.org/id/object/GAA57394","1,35","http://qudt.org/vocab/unit/CM"
"91 8-6 58","http://collection.britishmuseum.org/id/object/GAA57393","1,7","http://qudt.org/vocab/unit/CM"
"91 8-6 59","http://collection.britishmuseum.org/id/object/GAA57392","2,5","http://qudt.org/vocab/unit/CM"
"91 8-6 60","http://collection.britishmuseum.org/id/object/GAA57345","1,3","http://qudt.org/vocab/unit/CM"
"91 8-6 61","http://collection.britishmuseum.org/id/object/GAA57345","1,1","http://qudt.org/vocab/unit/CM"
"AI_102","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_102",,
"AI_110","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_110",,
"AI_111","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_111",,
"AI_1249","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_1249",,
"AI_125","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_125",,
"AI_1295","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_1295",,
"AI_130","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_130",,
"AI_142","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_142",,
"AI_1496","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_1496",,
"AI_1499","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_1499",,
"AI_1867","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_1867",,
"AI_1877","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_1877",,
"AI_195","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_195",,
"AI_217","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_217",,
"AI_233","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_233",,
"AI_238","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_238",,
"AI_245","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_245",,
"AI_28","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_28",,
"AI_283","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_283",,
"AI_321","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_321",,
"AI_341","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_341",,
"AI_349","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_349",,
"AI_37","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_37",,
"AI_393","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_393",,
"AI_405","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_405",,
"AI_412","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_412",,
"AI_448","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_448",,
"AI_60","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_60",,
"AI_713","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_713",,
"AI_816","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_816",,
"AI_82","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_82",,
"AI_83","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_83",,
"AI_866","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_866",,
"AI_868","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_868",,
"AI_872","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_872",,
"AI_876","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_876",,
"AI_877","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_877",,
"AI_88","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_88",,
"AI_880","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_880",,
"AI_881","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_881",,
"AI_96","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_96",,
"AI_99","http://www.mcw.gov.cy/AyiaIrini/id/object/AI_99",,
"AN1909_837","http://www.ashmolean.org/id/object/AN1909.837","1,65","http://qudt.org/vocab/unit/CM"
"C 111 1935","http://data.cyl/id/object/C%20111%201935","1,05","http://qudt.org/vocab/unit/CM"
"C 113 1935","http://data.cyl/id/object/C%20113%201935","1,5","http://qudt.org/vocab/unit/CM"
"C 114 1935","http://data.cyl/id/object/C%20114%201935","1,6","http://qudt.org/vocab/unit/CM"
"C 115 1935","http://data.cyl/id/object/C%20115%201935","1,1","http://qudt.org/vocab/unit/CM"
"C 2405","http://data.cyl/id/object/C%202405","1,15","http://qudt.org/vocab/unit/CM"
"C 2412","http://data.cyl/id/object/C%202412","1,8","http://qudt.org/vocab/unit/CM"
"C 2599","http://data.cyl/id/object/C%202599","1,3","http://qudt.org/vocab/unit/CM"
"C 2600","http://data.cyl/id/object/C%202600","1,3","http://qudt.org/vocab/unit/CM"
"C_1070","http://data.cyl/id/object/C.1070","1,1","http://qudt.org/vocab/unit/CM"
"C_2167","http://data.cyl/id/object/C.2167","1,55","http://qudt.org/vocab/unit/CM"
